extraction_id,label,human_label,fact_type,reason,person,subject,role,party,organization,object,relation,justification
33LkRl8dCV3lFV5xxzaK,correct,insufficient,employment,name+role+org all in span; human 'insufficient' looks wrong,Semen Kriwonos,,szef,,Narodowe Biuro Antykorupcyjne Ukrainy,,,Szef Narodowego Biura Antykorupcyjnego Ukrainy Semen Kriwonos mówił...
37m2nSYH0HYmP3mmknUf,insufficient,insufficient,employment,subj 'Marek Chrzanowski' not named in span (§2),Marek Chrzanowski,,przewodniczący,,Komisja Nadzoru Finansowego,,,byłego szefa Komisji Nadzoru Finansowego
3C7DQeCSEetfGAHnnOu3,correct,correct,employment,name+role+org in span,Marek C.,,kierownik zespołu,,Spółka Restrukturyzacji Kopalń,,,Marek C. - kierownika zespołu monitorowania procesów likwidacji kopalń w Spółce Restrukturyzacji Kopalń.
3YLKSTW8sSugLnu2j9Ut,incorrect,insufficient,employment,"subj 'żona Marcina Liberackiego' is a description, not a name (§2)",żona Marcina Liberackiego,,zatrudniona na wydziale,,Akademia Wojsk Lądowych,,,Marcina Liberackiego... jego żona... wyjechała z mężem...
3vkr7wvYTu84Ov8SG6pJ,incorrect,incorrect,personal_relation,object 'wicepremier Paweł' garbled (span: 'Pawlaka') (§4),,Urszula Solińska-Marek,,,,wicepremier Paweł,znajoma,"Urszula Solińska-Marek, znajoma wicepremiera Pawlaka..."
4Dsl61cAgoggvVpD8wQa,correct,incorrect,employment,name+role+org all in span & Polish; human 'incorrect' looks wrong,Tomasz Mraz,,były dyrektor Departamentu Funduszu Sprawiedliwości,,Ministerstwo Sprawiedliwości,,,"Tomasz Mraz, były dyrektor Departamentu Funduszu Sprawiedliwości w Ministerstwie Sprawiedliwości"
4OkXT2lRrpnzytUAmynb,correct,correct,employment,"name+role in span, NABU expands to org",Semen Krywonos,,szef,,Narodowe Biuro Antykorupcyjne Ukrainy,,,Szef NABU Semen Krywonos
4QKMxBewmTcmwFwIxg2i,incorrect,correct,employment,role 'leader' & org English; span is Polish 'CzSSD' (§1),Bohuslav Sobotka,,leader,,Czech Social Democratic Party (ČSSD),,,szef jego macierzystej partii CzSSD Bohuslav Sobotka.
4Rye8UjxGymHkkFZR4rM,insufficient,insufficient,employment,subj 'Sylwester R.' not named in span ('Były prezes ZUS') (§2),Sylwester R.,,prezes,,ZUS,,,Były prezes ZUS
4VTKzK26KZP8EaT2aWHD,incorrect,insufficient,party_membership,party 'PSL' not in span ('działacza ludowców') (§3),Tomasz Kołodziej,,,PSL,,,,"Tomasz Kołodziej, syn niedawno zmarłego działacza ludowców..."
4Xlut9H4zCsuakVOEIKk,correct,incorrect,employment,name+role+'biuro poselskie Jana Burego' in span,Bogusław P.,,były szef,,biuro poselskiego Jana Burego,,,"Bogusław P., były szef biura poselskiego Jana Burego"
4aZ06SIfMK7vWpEcbMui,incorrect,incorrect,personal_relation,subj 'córka Grzegorza Stankiewicza' is a description (§2),,córka Grzegorza Stankiewicza,,,,Grzegorz Stankiewicz,córka,Grzegorza Stankiewicza... jego syn... córka prowadzi zajęcia...
4f5kBx1zPq88dktLIkbt,correct,correct,employment,name+role+org in span,Mirosław S.,,vicedyrektor,,Biuro Likwidacji Kopalń i Ochrony Środowiska Spółki Restrukturyzacji Kopalń,,,vicedyrektora Biura Likwidacji Kopalń i Ochrony Środowiska Spółki Restrukturyzacji Kopalń Mirosława S.
4nErC3KGlx1XtzyHjhWz,correct,correct,employment,name+role in span (org in truncated tail),Dorota Balcerzyk,,prodziekan ds. studenckich,,Akademia Wojsk Lądowych,,,Dorota i Robert Balcerzyk... pełnią funkcję prodziekana...
5WKOfKyqcVVPK0o0VZy0,correct,correct,party_membership,"'Karol Karski, były europoseł PiS' in span",Karol Karski,,,PiS,,,,"Karol Karski, były europoseł PiS"
5XhXmB5DF8CEoLZRx7xk,incorrect,incorrect,personal_relation,object 'ojciec' unnamed; relation 'rodzina' vague (§4),,Eva Kaili,,,,ojciec,rodzina,Kaili – wierzchołek lodowej góry... Wspólnie z nią działali także jej partner oraz ojciec
64RlKL0YJdE8zYZmkeuC,incorrect,incorrect,employment,"subj 'wiceprezes' is a role, not a name (§2)",wiceprezes,,wiceprezes,,Tramwaje Śląskie,,,Są to prezes i wiceprezes zarządu spółki dysponującej środkami pochodzącymi z Unii Europejskiej.
6BwN7cJ1KagXdjoDlPQe,incorrect,incorrect,personal_relation,object 'żona' unnamed (§4),,Pier Antonio Panzeri,,,,żona,żona,żonę i córkę Panzeriego
6CKXVX8wFvxZwDJKwJFE,insufficient,correct,personal_relation,subj 'Ryszard Czarnecki' not named in span ('małżonkę Emilię H.') (§2),,Ryszard Czarnecki,,,,Emilia H.,małżonka,małżonkę Emilię H.
6g1G52TsBNxZRvx7A1GZ,correct,correct,employment,name+role+org in span,Wojciech B.,,prezydent,,Starachowice,,,Wojciech B. – prezydent Starachowic
7UxvjY15QxqiAClxXc35,correct,correct,employment,name+role+org in span,Eva Kaili,,wiceszefowa,,Parlament Europejski,,,Eva Kaili straciła stanowisko wiceszefowej Parlamentu Europejskiego
7qdLUjMC2KhZGeds4FVn,insufficient,insufficient,party_membership,subj 'Ryszard Czarnecki' not named in span ('polityk PiS') (§2),Ryszard Czarnecki,,,Prawo i Sprawiedliwość (PiS),,,,polityk PiS
7wyPYNKpawTKi8Dd1pcC,incorrect,incorrect,personal_relation,object 'nieokreślony działacz ludowców' unnamed (§4),,Tomasz Kołodziej,,,,nieokreślony działacz ludowców,syn,"Tomasz Kołodziej, syn niedawno zmarłego działacza ludowców..."
8Ou2tAkNSdrwYc0TYGS1,incorrect,incorrect,party_membership,party 'PO' not in span (§3),Krzysztof Grzegorka,,,PO,,,,wiceministra zdrowia Krzysztofa Grzegorka
8YknmhCUM0Lzykv9kXG9,insufficient,correct,employment,subj 'Konrad R.' not named in span (§2),Konrad R.,,wiceprezes i dyrektor finansowy,,BOŚ Bank,,,„pełnił m.in. funkcje: wiceprezesa i dyrektora finansowego BOŚ Banku...”
8x4VTfmsoB2M8iMBbYqv,incorrect,incorrect,employment,role & org absent from span (only name) (§3),Jean-Claude Juncker,,były szef,,Komisja Europejska,,,Jean-Claude Juncker
8yeiVM9DRNa8uTony61a,correct,correct,employment,name+role+org in span,Gabriela Wiatr,,rzeczniczka prasowa,,Urząd Marszałkowskiego Województwa Zachodniopomorskiego,,,rzeczniczka prasowa Urzędu Marszałkowskiego Gabriela Wiatr
9AQKGGFcXdolctRcuQdZ,correct,correct,personal_relation,"both named, relation żona in span",,Bogdan P.,,,,Małgorzata P.,żona,Bogdan P. jest żonaty z Małgorzatą P. i mają córkę.
9GXM7qMFWvBGCKbAKTXo,incorrect,insufficient,party_membership,"party 'EPP' not in span (only name) (§3, Option A)",Ursula von der Leyen,,,Europejska Partia Ludowej (EPP),,,,Ursula von der Leyen
9Ko2Plz1nyIWYcUr2pva,correct,correct,employment,name+role in span; ULC in span,Ewa C.,,pracowniczka departamentu operacyjno-lotniczego,,Urzęd Lotnictwa Cywilnego (ULC),,,"Dominik P. – pilot, egzaminator; Katarzyna T. – przewodnicząca Lotniczej Komisji Egzaminacyjnej; Wojciech G. – pracownik wydziału informatyki ULC; Ewa C. – pracowniczka departamentu operacyjno-lotniczego; Agnieszka N. – pracownik departamentu personelu lotniczego, a także Tomasz K. – pracownik LKE"
A5FqTdgKKLWNNvEGndrI,incorrect,incorrect,personal_relation,object 'córka Dariusza U.' is a description (§4),,Dariusz U.,,,,córka Dariusza U.,rodzicielstwo,córki burmistrza i pracowników samorządowych z Murowanej Gośliny
AORRrhfutJVvyVJcSuE2,correct,correct,personal_relation,"both named, relation znajomy in span",,Szymon Skalski,,,,Piotr Krawczyk,znajomy,"Szymon Skalski, który jest znajomym kierującego Agencją Wywiadu Piotra Krawczyka"
AzkSHSxMCiEH4Brn5nhq,correct,correct,employment,'premier Mateusz Morawiecki' in span,Mateusz Morawiecki,,premier,,Rząd,,,premier Mateusz Morawiecki
B7Gg4jH6g2CdgVY8gS9G,incorrect,incorrect,employment,English 'member'/'Chamber of Deputies' (§1),David Rath,,member,,Chamber of Deputies,,,wojewodę kraju środkowoczeskiego i opozycyjnego posła Davida Ratha.
BHAHtApCr3ne70gNylfA,correct,correct,employment,name+role+ULC in span,Wojciech G.,,pracownik wydziału informatyki,,Urzęd Lotnictwa Cywilnego (ULC),,,"Dominik P. – pilot, egzaminator; Katarzyna T. – przewodnicząca Lotniczej Komisji Egzaminacyjnej; Wojciech G. – pracownik wydziału informatyki ULC; Ewa C. – pracowniczka departamentu operacyjno-lotniczego; Agnieszka N. – pracownik departamentu personelu lotniczego, a także Tomasz K. – pracownik LKE"
BIJWjGDwUBLXNbQf6glP,incorrect,insufficient,employment,org 'Ambasada Egiptu' — Egipt not in span ('placówki w Warszawie') (§3),Yehy Erlamlaway,,szef placówki,,Ambasada Egiptu w Polsce,,,Yehy Erlamlaway był szefem placówki w Warszawie
BJtu4UtFgYd9g9LGosIQ,correct,insufficient,employment,name+role in span; town in truncated tail,Radosław Sz.,,zastępca burmistrza,,Murowana Goślina,,,"Radosławowi Sz. zarzucono, że w czasie pełnienia przez niego funkcji zastępcy burmistrza..."
BUyVuFPvCqh1BHpiAhNP,correct,correct,employment,name+role+org in span,Małgorzata S.,,dyrektor,,Biblioteka Publiczna Murowanej Gośliny,,,Małgorzata S. – dyrektor Biblioteki Publicznej Miasta i Gminy Murowana Goślina...
BqJe9zUHgFDgF9vLRzPu,incorrect,incorrect,employment,"role belongs to husband ('jej mąż kieruje'), misattributed (§3)",Jolanta Horyń,,nieokreślona (kierownicza),,Akademia Wojsk Lądowych,,,Jolanty Horyń... jej mąż... kieruje Wydziałem...
CZvhPkGePLKczQbPsSEU,insufficient,incorrect,personal_relation,subj 'Stefan Niesiołowski' not named in span; direction unverifiable (§2),,Stefan Niesiołowski,,,,Wojciech K.,znajomy,osoba wskazana przez jego znajomego biznesmena Wojciecha K.
CfK20MXAoFNPtOjqOmMj,correct,correct,employment,name+role; Collegium Humanum in span,Ilona A.,,kwestorka,,Collegium Humanum,,,"Iwona G. (prorektorka Collegium Humanum), Michał G. (kanclerz CH) oraz Ilona A. (kwestorka)."
Cgog5U3iQ1wYIj3yvDpn,incorrect,correct,employment,"org 'Federacja Rosyjska' not in span (only 'wicepremier'), ungrounded (§3)",Dmitrij Patruszew,,wicepremier,,Federacja Rosyjska,,,Dmitrij Patruszew – wicepremier
CoN9ApqSAdtGbKtK9doi,correct,insufficient,employment,name+role+'Biura'(CBA) in span,Piotr Kaczorek,,wydział komunikacji społecznej,,CBA,,,Piotr Kaczorek z wydziału komunikacji społecznej Biura.
CwDDXxPslF7sSWigv0PU,correct,correct,personal_relation,"both named, relation in span",,Zbigniew Ziobro,,,,Michał O.,prywatnie znajomi,"Zbigniew Ziobro, prywatnie znajomy ks. Michała O."
E1RDpuxZssCbZajMX8x1,insufficient,insufficient,employment,subj 'Błażej Spychalski' not named in span ('Był doradcą…') (§2),Błażej Spychalski,,wiceprezes,,Gaz-System,,,"Był doradcą zarządu PKN Orlen, a także wiceprezesem Gaz-System."
EIEK5X1heetn7dx7Wq5B,insufficient,correct,employment,subj 'Konrad R.' not named in span (§2),Konrad R.,,członek zarządów i rad nadzorczych,,"firm notowanych na GPW, NYSE i LSE",,,"„członka zarządów i rad nadzorczych firm notowanych na GPW, NYSE i LSE”"
ELDIoHlItaAyjWFP9S86,correct,correct,party_membership,name+'Forum na rzecz Demokracji' in span,Thierry Baudet,,,Forum na rzecz Demokracji (FvD),,,,"Thierry Baudet, lider Forum na rzecz Demokracji"
EQ87IYoXMkpI9dh5yRXk,incorrect,insufficient,employment,span is about arrest; role 'burmistrz'/org not in span (§3),Dariusz U.,,burmistrz,,Murowana Goślina,,,Dariusz U. jest nadal tymczasowo aresztowany.
Ef3XFTLVKVysJlr3BUCd,correct,correct,employment,'wiceprzewodniczącą PE Ewę Kaili' in span,Ewa Kaili,,wiceprzewodnicząca,,Parlament Europejski,,,wiceprzewodniczącą PE Ewę Kaili
EqhJuqOj802qiFd49qE7,correct,correct,employment,name+role+org in span,Karolina K.,,wiceszefowa,,Departament Funduszu Sprawiedliwości,,,Karolina K. - była wiceszefową Departamentu Funduszu Sprawiedliwości
F3yJzZLqlksKvYV36Csi,insufficient,insufficient,personal_relation,subj 'Jakub Banaś' not named in span ('syn Mariana Banasia') (§2),,Jakub Banaś,,,,Marian Banaś,syn,syn Mariana Banasia
F4rg5Rjx9oPB1tkJ8MjT,insufficient,insufficient,employment,subj 'Rustem Umierow' not named in span (§2),Rustem Umierow,,sekretarz,,Rada Bezpieczeństwa Narodowego i Obrony Ukrainy,,,obecny sekretarz Rady Bezpieczeństwa Narodowego i Obrony Ukrainy
F7mZ1hQqjVgTgCJcmyeF,correct,correct,employment,name+role+org in span,Tadeusz G.,,dyrektor,,Izba Skarbowej w Krakowie,,,dyrektor Izby Skarbowej w Krakowie Tadeusz G.
FTuORSXH1JkJVNM5IhxG,correct,correct,personal_relation,"both named, relation żona in span",,Błażej S.,,,,Sandra S.,żona,Błażej S. ... jego żona Sandra S.
Fp34Bss4Xj7e7jijM6Dn,incorrect,incorrect,party_membership,party 'ČSSD' not in span (§3),Petr Kott,,,Czech Social Democratic Party (ČSSD),,,,"bliski współpracownik wojewody, były poseł Petr Kott."
GJBHvOpZGPHUplIgR41m,correct,correct,employment,name+role+org in span,Józef H.,,komendant,,Straż Ochrony Kolei,,,"Józef H., do końca lutego 2024 r. komendant Straży Ochrony Kolei."
GK5rz61a3GrhQqB4veGu,correct,insufficient,employment,name+role kierownik+MOPS in span,Monika Sz.,,kierownik,,Miejski Ośrodek Pomocy Społecznej w Murowanej Goślinie,,,"Monice Sz. prokurator zarzucił, że sprawując funkcję kierownika Miejskiego Ośrodka Pomocy Społecznej..."
GZBhBKvWNval46NCsUSu,incorrect,insufficient,employment,span about PO candidacy; 'rada nadzorcza KGHM' not in span (§3),Franciszek Adamczyk,,członek rady nadzorczej,,KGHM,,,"Franciszek Adamczyk, wielokrotnie startujący z list Platformy Obywatelskiej..."
GvzSm3EeSdbGS849HRaL,correct,correct,employment,name+role+org in span,Wsiewołod Kniaziew,,prezes,,Sąd Najwyższy Ukrainy,,,"Wsiewołod Kniaziew, prezes Sądu Najwyższego Ukrainy, który objął urząd w wieku 42 lat"
H9UMJ0uP39t5KaFMdL2S,incorrect,incorrect,personal_relation,object 'żona Stanisława Gawłowskiego' is a description (§4),,Stanisław Gawłowski,,,,żona Stanisława Gawłowskiego,małżeństwo,żona Stanisława Gawłowskiego
HFMUXyMKCOphjVWVJdUA,correct,correct,employment,name+role+org in span,Bogusław T.,,funkcjonariusz,,Policja,,,funkcjonariusza Policji Bogusława T.
HKdEmCxBUsS4wcEyvY61,correct,correct,employment,name+role+org in span,Paweł Cz.,,założyciel i rektor,,Collegium Humanum,,,Paweł Cz. – założyciel i były rektor Collegium Humanum.
HLBCoZXZajHNGwiIv2r6,insufficient,insufficient,personal_relation,object 'Wojciech Horyń' not named in span ('jej mąż') (§2/§4),,Jolanta Horyń,,,,Wojciech Horyń,żona,Jolanty Horyń... jej mąż... kieruje Wydziałem...
HWAaoCo2pLNhrxhZpC7I,correct,correct,employment,name+role+org in span,Wsiewołod Kniaziew,,"sędzia (od 2017), przewodniczący (od 2021)",,Sąd Najwyższy Ukrainy,,,Wsiewołod Kniaziew był sędzią Sądu Najwyższego od 2017 roku. W 2021 roku kolegium tego sądu wybrało go na przewodniczącego. Objął urząd 1 grudnia 2021 r.
HnIozHqke1HmieLjN6EO,incorrect,insufficient,employment,subj 'syn Grzegorza Stankiewicza' is a description (§2),syn Grzegorza Stankiewicza,,pracownik administracji,,Akademia Wojsk Lądowych,,,Grzegorza Stankiewicza... jego syn... córka prowadzi zajęcia...
IAqHKVxoy08CWVUiE7II,correct,correct,personal_relation,"both named, relation żona in span",,Ryszard Cz.,,,,Emilia H.,żona,Ryszard Cz. oraz jego żona Emilia H.
IWjIpS42QiPcIUt59rC2,incorrect,correct,employment,role 'szef grupy przestępczej' not in span; crime-group ≠ employment@Amica (§3),Ryszard F.,,szef zorganizowanej grupy przestępczej,,Amica Wronki,,,"Ryszard F., zwany „Fryzjerem... stworzył z nich Amicę Wronki..."
J4BgENJsfhXef3SLpspK,incorrect,correct,employment,"org 'Federacja Rosyjska' not in span, ungrounded (§3)",Wiktoria Patruszew,,działacz polityczny i biznesmen,,Federacja Rosyjska,,,Wiktoria Patruszew – działacz polityczny i biznesmen
JEH1rIOxRVrqPxxT0Aji,insufficient,insufficient,party_membership,subj 'Jan Burgo' not named in span ('podkarpacki działacz PSL') (§2),Jan Burgo,,,PSL,,,,podkarpacki działacz PSL
K85BboAtnt0pD7Cw7gIt,correct,correct,personal_relation,"both named, relation klient in span",,Tomasz Mraz,,,,Roman Giertych,klient,Tomasz Mraz [...] jest klientem Romana Giertycha
KXDWIoUJQIEIjTDEtcBz,incorrect,incorrect,party_membership,"subj 'M.' is a bare initial, not a valid name (§2)",M.,,,SLD,,,,"Radna SLD, b. wiceprezydent Szczecina została zatrzymana przez ABW"
KtebLfZna8tzjpvFgZmb,correct,correct,employment,name+role+org in span,Małgorzata Wojciechowicz,,rzeczniczka prasowa,,Prokuratura Regionalna w Szczecinie,,,rzeczniczka prasowa Prokuratury Regionalnej w Szczecinie Małgorzata Wojciechowicz
Ku86DdrEsU1oSMYCBwHw,incorrect,insufficient,employment,"org belongs to prokurator Karol K., not adwokat Artur N. (misattr., §3)",Artur N.,,adwokat,,Prokuratura Rejonowa w Koszalinie,,,adwokat Artur N. [...] oraz prokurator Prokuratury Rejonowej w Koszalinie Karol K.
L5DbF5p03Y71hEPlcDrY,correct,correct,employment,name+role; PSP=Straż Pożarna in span,Andrzej B.,,komendant,,Straż Pożarna,,,"Andrzej B., komendant PSP z czasów rządów PiS"
M3EMTwodfSghI97BciKi,correct,correct,employment,'wiceminister zdrowia Janusz Cieszyński' in span,Janusz Cieszyński,,wiceminister,,Ministerstwo Zdrowia,,,wiceminister zdrowia Janusz Cieszyński
M3ra9Irex2FqvsjVlV1z,incorrect,incorrect,personal_relation,object 'córka' unnamed (§4),,Ryszard F.,,,,córka,rodzicielstwo,Fryzjer... jego córka...
MlG6LIJnTWVBjjKDgtnG,insufficient,correct,party_membership,subj 'Stanisław Gawłowski' not named in span ('senator KO') (§2),Stanisław Gawłowski,,,Koalicja Obywatelska,,,,obecnie senator Koalicji Obywatelskiej
N2UNHgwoGUK6XqVgKNct,correct,correct,employment,name+role+org in span,Dariusz U.,,burmistrz,,Murowana Goślina,,,Dariusz U. był burmistrzem Murowanej Gośliny od 2014 r.
N3J60fctsrEB24L5Q1BW,correct,correct,employment,'prezes KGHM Marcin Chludziński' in span,Marcin Chludziński,,prezes,,KGHM,,,prezes KGHM Marcin Chludziński
NCxYdGIhPrZ6H0unzCoh,incorrect,incorrect,personal_relation,relation 'bliskie znać się od wielu lat' garbled; subj not in span (§3),,Wołodymyr Zełenski,,,,Andrij Jermak,bliskie znać się od wielu lat,"z kluczowymi postaciami (Mindiczem, Jermakiem i Czernyszowem) zna się od wielu lat..."
Nl6sezKYhZ9qsvxbqtew,correct,correct,employment,name+role+org in span,Andrij Jermak,,szef,,Biuro Prezydenta Ukrainy,,,"Andrij Jermak, szef biura prezydenta Wołodymyra Zełenskiego"
OAHYWAo4VkeOGsVL1HUM,incorrect,incorrect,employment,"subj 'prezes' is a role, not a name (§2)",prezes,,prezes,,Tramwaje Śląskie,,,Są to prezes i wiceprezes zarządu spółki dysponującej środkami pochodzącymi z Unii Europejskiej.
OE07rFyo8VSA9W71BZmE,insufficient,insufficient,employment,subj 'Jakub Banaś' not named in span ('syn prezesa NIK') (§2),Jakub Banaś,,społeczny doradca,,nieokreślona,,,syn prezesa NIK... społecznego doradcę
OyrUDLdg3cLBgGNZyw1W,correct,correct,employment,name+role senator in span (org entailed),Józef P.,,senator (2011-2015),,Senat Rzeczypospolitej Polskiej,,,byłego senator i działacz Solidarności Józef P.
P3eDbNzK3fXugnjS7AA6,incorrect,incorrect,employment,English 'governor'/'Central Bohemian Region' (§1),David Rath,,governor,,Central Bohemian Region,,,wojewodę kraju środkowoczeskiego i opozycyjnego posła Davida Ratha.
PPo8jRcD4FthUbvFCngZ,incorrect,incorrect,employment,"role 'rzecznik"".' garbled & CBA not in span (§3)",Jacek Dobrzyński,,"rzecznik"".",,CBA,,,Jacek Dobrzyński przypomniał...
PTPLMVOkE4tksRZEVSGT,correct,correct,employment,name+role+Fundusz Sprawiedliwości in span,Marcin Romanowski,,wiceminister,,Fundusz Sprawiedliwości,,,Marcin Romanowski - były wiceminister sprawiedliwości nadzorujący Fundusz Sprawiedliwości
PXajvRBS7E8U7u9E3KbN,incorrect,incorrect,personal_relation,object 'konkubina' unnamed (§4),,Ryszard F.,,,,konkubina,partnerstwo,Zakład fryzjerski we Wronkach ma także jego konkubina...
PlZAHojLhcBxU3Ful1Qj,correct,correct,employment,'Michał G. (kanclerz CH)' in span,Michał G.,,kanclerz,,Collegium Humanum,,,"Iwona G. (prorektorka Collegium Humanum), Michał G. (kanclerz CH) oraz Ilona A. (kwestorka)."
PxaucqNuHtoWQVTATZVU,correct,correct,employment,name+role+org in span,Andrzej M.,,prezes,,warszawska spółka z branży energetycznej,,,prezes warszawskiej spółki z branży energetycznej Andrzej M.
